,hidden_activation,hidden_size,lr,n_epochs,n_hidden,Accuracy
0,ReLU,3,0.001,20000,3,0.4235507246376812
1,ReLU,3,0.001,20000,4,0.6518115942028986
2,ReLU,3,0.001,20000,5,0.4315217391304348
3,ReLU,3,0.001,20000,6,0.35543478260869565
4,ReLU,3,0.005,20000,3,0.7119565217391304
5,ReLU,3,0.005,20000,4,0.7623188405797101
6,ReLU,3,0.005,20000,5,0.6601449275362319
7,ReLU,3,0.005,20000,6,0.7039855072463768
8,ReLU,3,0.01,20000,3,0.7786231884057971
9,ReLU,3,0.01,20000,4,0.7623188405797101
10,ReLU,3,0.01,20000,5,0.6942028985507246
11,ReLU,3,0.01,20000,6,0.6869565217391305
12,ReLU,4,0.001,20000,3,0.5681159420289854
13,ReLU,4,0.001,20000,4,0.6692028985507248
14,ReLU,4,0.001,20000,5,0.5507246376811594
15,ReLU,4,0.001,20000,6,0.6282608695652174
16,ReLU,4,0.005,20000,3,0.7706521739130435
17,ReLU,4,0.005,20000,4,0.7282608695652174
18,ReLU,4,0.005,20000,5,0.6778985507246377
19,ReLU,4,0.005,20000,6,0.7619565217391304
20,ReLU,4,0.01,20000,3,0.7452898550724638
21,ReLU,4,0.01,20000,4,0.7449275362318841
22,ReLU,4,0.01,20000,5,0.7195652173913043
23,ReLU,4,0.01,20000,6,0.5764492753623188
24,ReLU,5,0.001,20000,3,0.5090579710144928
25,ReLU,5,0.001,20000,4,0.7101449275362319
26,ReLU,5,0.001,20000,5,0.5996376811594202
27,ReLU,5,0.001,20000,6,0.5833333333333334
28,ReLU,5,0.005,20000,3,0.635144927536232
29,ReLU,5,0.005,20000,4,0.753623188405797
30,ReLU,5,0.005,20000,5,0.6608695652173913
31,ReLU,5,0.005,20000,6,0.6434782608695653
32,ReLU,5,0.01,20000,3,0.6681159420289855
33,ReLU,5,0.01,20000,4,0.7369565217391304
34,ReLU,5,0.01,20000,5,0.686231884057971
35,ReLU,5,0.01,20000,6,0.6456521739130434
36,ReLU,6,0.001,20000,3,0.6782608695652174
37,ReLU,6,0.001,20000,4,0.41666666666666663
38,ReLU,6,0.001,20000,5,0.5931159420289854
39,ReLU,6,0.001,20000,6,0.6007246376811594
40,ReLU,6,0.005,20000,3,0.7876811594202898
41,ReLU,6,0.005,20000,4,0.7793478260869564
42,ReLU,6,0.005,20000,5,0.7619565217391304
43,ReLU,6,0.005,20000,6,0.744927536231884
44,ReLU,6,0.01,20000,3,0.7960144927536232
45,ReLU,6,0.01,20000,4,0.7873188405797101
46,ReLU,6,0.01,20000,5,0.744927536231884
47,ReLU,6,0.01,20000,6,0.7271739130434783
48,ReLU,7,0.001,20000,3,0.6010869565217392
49,ReLU,7,0.001,20000,4,0.6681159420289855
50,ReLU,7,0.001,20000,5,0.7369565217391304
51,ReLU,7,0.001,20000,6,0.7369565217391305
52,ReLU,7,0.005,20000,3,0.7619565217391304
53,ReLU,7,0.005,20000,4,0.7789855072463767
54,ReLU,7,0.005,20000,5,0.6858695652173913
55,ReLU,7,0.005,20000,6,0.7532608695652174
56,ReLU,7,0.01,20000,3,0.7706521739130434
57,ReLU,7,0.01,20000,4,0.7539855072463768
58,ReLU,7,0.01,20000,5,0.5018115942028986
59,ReLU,7,0.01,20000,6,0.4670289855072463
