solve_result,Qinj_max,OilProduction
solved,50,286.666667
solved,100,768.536232
solved,150,1100.973684
solved,200,1385.561983
solved,250,1830.057971
solved,300,2122.666667
solved,350,2410.724638
solved,400,2713.550725
solved,450,2738.913043
solved,500,2948.072464
solved,550,2973.434783
solved,600,2994.184211
solved,650,3016.231884
solved,700,3223.769231
solved,750,3250.753623
solved,800,3274.315789
solved,850,3294.052632
solved,900,3313.280899
solved,950,3332.308642
solved,1000,3347.740741
solved,1050,3362.081967
solved,1100,3374.786885
solved,1150,3387.491803
solved,1200,3400.039776
solved,1250,3403.448678
solved,1300,3403.448678
solved,1350,3403.448678
solved,1400,3403.448678
solved,1450,3403.448678
solved,1500,3403.448678
